id,neighbourhood_cleansed,neighbourhood_group
3990,East Village,Manhattan
3991,Upper West Side,Manhattan
3992,Crown Heights,Brooklyn
3993,Jamaica Estates,Queens
3994,Nolita,Manhattan
3995,Williamsburg,Brooklyn
3996,Flushing,Queens
3997,Flushing Meadows Corona Park,Queens
3998,Prospect-Lefferts Gardens,Brooklyn
3999,Wakefield,Bronx
4000,Windsor Terrace,Brooklyn
4001,Hell's Kitchen,Manhattan
4002,Williamsburg,Brooklyn
4003,Crown Heights,Brooklyn
4004,Manhattan,Manhattan
4005,Harlem,Manhattan
4006,Financial District,Manhattan
4007,Springfield Gardens,Queens
4008,Harlem,Manhattan
4009,Crown Heights,Brooklyn
4010,Flatbush,Brooklyn
4011,Park Slope,Brooklyn
4012,Bushwick,Brooklyn
4013,Crown Heights,Brooklyn
4014,Harlem,Manhattan
4015,Prospect-Lefferts Gardens,Brooklyn
4016,Ozone Park,Queens
4017,Flatiron District,Manhattan
4018,Upper West Side,Manhattan
4019,Prospect-Lefferts Gardens,Brooklyn
4020,Nolita,Manhattan
4021,Battery Park City,Manhattan
4022,Greenpoint,Brooklyn
4023,Williamsburg,Brooklyn
4024,Harlem,Manhattan
4025,East Flatbush,Brooklyn
4026,Lower East Side,Manhattan
4027,Upper West Side,Manhattan
4028,Woodhaven,Queens
4029,West Village,Manhattan
4030,Prospect-Lefferts Gardens,Brooklyn
4031,East Harlem,Manhattan
4032,Ridgewood,Queens
4033,Bedford-Stuyvesant,Brooklyn
4034,Williamsburg,Brooklyn
4035,Clinton Hill,Brooklyn
4036,Hell's Kitchen,Manhattan
4037,Prospect-Lefferts Gardens,Brooklyn
4038,Crown Heights,Brooklyn
4039,Civic Center,Manhattan
4040,Washington Heights,Manhattan
4041,Green-Wood Cemetery,Brooklyn
4042,Bedford-Stuyvesant,Brooklyn
4043,Tribeca,Manhattan
4044,Elmhurst,Queens
4045,Bedford-Stuyvesant,Brooklyn
4046,Bedford-Stuyvesant,Brooklyn
4047,Midtown,Manhattan
4048,Williamsburg,Brooklyn
4049,Bushwick,Brooklyn
4050,Bushwick,Brooklyn
4051,East Elmhurst,Queens
4052,Upper East Side,Manhattan
4053,Crown Heights,Brooklyn
4054,Flatiron District,Manhattan
4055,Hell's Kitchen,Manhattan
4056,Theater District,Manhattan
4057,Crown Heights,Brooklyn
4058,Hell's Kitchen,Manhattan
4059,Lower East Side,Manhattan
4060,East New York,Brooklyn
4061,Kingsbridge,Bronx
4062,Hell's Kitchen,Manhattan
4063,Upper West Side,Manhattan
4064,Williamsburg,Brooklyn
4065,Rego Park,Queens
4066,Greenpoint,Brooklyn
4067,Jackson Heights,Queens
4068,East Harlem,Manhattan
4069,University Heights,Bronx
4070,Bushwick,Brooklyn
4071,Crown Heights,Brooklyn
4072,Bedford-Stuyvesant,Brooklyn
4073,Carroll Gardens,Brooklyn
4074,Murray Hill,Manhattan
4075,Upper East Side,Manhattan
4076,Bushwick,Brooklyn
4077,Theater District,Manhattan
4078,Bedford-Stuyvesant,Brooklyn
4079,Murray Hill,Manhattan
4080,East Village,Manhattan
4081,Lower East Side,Manhattan
4082,Chelsea,Manhattan
4083,West Village,Manhattan
4084,Chelsea,Manhattan
4085,Two Bridges,Manhattan
4086,Clinton Hill,Brooklyn
4087,Astoria,Queens
4088,Kips Bay,Manhattan
4089,Rego Park,Queens
4090,Kips Bay,Manhattan
4091,SoHo,Manhattan
4092,West Village,Manhattan
4093,Lower East Side,Manhattan
4094,Greenpoint,Brooklyn
4095,Sunnyside,Queens
4096,Bedford-Stuyvesant,Brooklyn
4097,Upper West Side,Manhattan
4098,Fort Greene,Brooklyn
4099,East Village,Manhattan
4100,Bushwick,Brooklyn
4101,Flatbush,Brooklyn
4102,Crown Heights,Brooklyn
4103,Cypress Hills,Brooklyn
4104,Bedford-Stuyvesant,Brooklyn
4105,Ridgewood,Queens
4106,Gramercy,Manhattan
4107,Bedford-Stuyvesant,Brooklyn
4108,Maspeth,Queens
4109,Gramercy,Manhattan
4110,Murray Hill,Manhattan
4111,Upper West Side,Manhattan
4112,Rosebank,Staten Island
4113,West Village,Manhattan
4114,Harlem,Manhattan
4115,Clinton Hill,Brooklyn
4116,Bushwick,Brooklyn
4117,Prospect-Lefferts Gardens,Brooklyn
4118,Williamsburg,Brooklyn
4119,Arden Heights,Staten Island
4120,East Harlem,Manhattan
4121,Queens Village,Queens
4122,Gowanus,Brooklyn
4123,Hell's Kitchen,Manhattan
4124,Williamsburg,Brooklyn
4125,Astoria,Queens
4126,Midtown,Manhattan
4127,Kips Bay,Manhattan
4128,Elmhurst,Queens
4129,Williamsburg,Brooklyn
4130,Midtown,Manhattan
4131,Bedford-Stuyvesant,Brooklyn
4132,Upper West Side,Manhattan
4133,Van Nest,Bronx
4134,Upper East Side,Manhattan
4135,Bedford-Stuyvesant,Brooklyn
4136,Financial District,Manhattan
4137,Rego Park,Queens
4138,Gramercy,Manhattan
4139,Harlem,Manhattan
4140,Upper West Side,Manhattan
4141,Rosedale,Queens
4142,Ellis Island,Manhattan
4143,Murray Hill,Manhattan
4144,Upper West Side,Manhattan
4145,East Harlem,Manhattan
4146,East Village,Manhattan
4147,Harlem,Manhattan
4148,Bushwick,Brooklyn
4149,Cypress Hills,Brooklyn
4150,Upper West Side,Manhattan
4151,Hell's Kitchen,Manhattan
4152,Harlem,Manhattan
4153,Williamsbridge,Bronx
4154,Murray Hill,Manhattan
4155,Douglaston,Queens
4156,Park Slope,Brooklyn
4157,Park Slope,Brooklyn
4158,Bensonhurst,Brooklyn
4159,Washington Heights,Manhattan
4160,Ozone Park,Queens
4161,Battery Park City,Manhattan
4162,Springfield Gardens,Queens
4163,East Harlem,Manhattan
4164,Murray Hill,Manhattan
4165,Crown Heights,Brooklyn
4166,Harlem,Manhattan
4167,Williamsburg,Brooklyn
4168,Crown Heights,Brooklyn
4169,Canarsie,Brooklyn
4170,Kingsbridge,Bronx
4171,Woodside,Queens
4172,Crown Heights,Brooklyn
4173,Bedford-Stuyvesant,Brooklyn
4174,Schuylerville,Bronx
4175,Woodside,Queens
4176,Lower East Side,Manhattan
4177,Bay Ridge,Brooklyn
4178,Harlem,Manhattan
4179,Astoria,Queens
4180,Rockaway Park,Queens
4181,Two Bridges,Manhattan
4182,Maspeth,Queens
4183,Bedford-Stuyvesant,Brooklyn
4184,Long Island City,Queens
4185,Kips Bay,Manhattan
4186,Upper East Side,Manhattan
4187,East New York,Brooklyn
4188,Williamsburg,Brooklyn
4189,Canarsie,Brooklyn
4190,Flatlands,Brooklyn
4191,Harlem,Manhattan
4192,Bushwick,Brooklyn
4193,Williamsburg,Brooklyn
4194,Upper West Side,Manhattan
4195,Williamsburg,Brooklyn
4196,Bedford-Stuyvesant,Brooklyn
4197,Jamaica Estates,Queens
4198,Midtown,Manhattan
4199,Harlem,Manhattan
4200,Woodhaven,Queens
4201,Hollis,Queens
4202,Bedford-Stuyvesant,Brooklyn
4203,Gowanus,Brooklyn
4204,NoHo,Manhattan
4205,Greenpoint,Brooklyn
4206,Elmhurst,Queens
4207,Upper West Side,Manhattan
4208,Harlem,Manhattan
4209,Hell's Kitchen,Manhattan
4210,Crown Heights,Brooklyn
4211,Washington Heights,Manhattan
4212,Woodside,Queens
4213,East Elmhurst,Queens
4214,Cypress Hills,Brooklyn
4215,Williamsburg,Brooklyn
4216,Arverne,Queens
4217,Carroll Gardens,Brooklyn
4218,Ridgewood,Queens
4219,Upper West Side,Manhattan
4220,Crown Heights,Brooklyn
4221,Bedford-Stuyvesant,Brooklyn
4222,Upper West Side,Manhattan
4223,Harlem,Manhattan
4224,Bushwick,Brooklyn
4225,Rockaway Park,Queens
4226,Greenpoint,Brooklyn
4227,Prospect Heights,Brooklyn
4228,Ridgewood,Queens
4229,Bedford-Stuyvesant,Brooklyn
4230,Upper West Side,Manhattan
4231,Sheepshead Bay,Brooklyn
4232,Hell's Kitchen,Manhattan
4233,Rockaway Park,Queens
4234,Upper West Side,Manhattan
4235,Park Slope,Brooklyn
4236,Bedford-Stuyvesant,Brooklyn
4237,St. George,Staten Island
4238,Financial District,Manhattan
4239,Harlem,Manhattan
4240,Midtown,Manhattan
4241,Lower East Side,Manhattan
4242,Bedford-Stuyvesant,Brooklyn
4243,Maspeth,Queens
4244,Harlem,Manhattan
4245,Harlem,Manhattan
4246,Bedford-Stuyvesant,Brooklyn
4247,Crown Heights,Brooklyn
4248,Far Rockaway,Queens
4249,NoHo,Manhattan
4250,Bedford-Stuyvesant,Brooklyn
4251,Crown Heights,Brooklyn
4252,Bedford-Stuyvesant,Brooklyn
4253,Ridgewood,Queens
4254,Prospect-Lefferts Gardens,Brooklyn
4255,Bedford-Stuyvesant,Brooklyn
